record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
 
1 1 28.57 0:00:00:00.21/600 0:00:00:00.00/600 137.58 283.37 199.40 115.85 -1000.00 -1000.00 48.00 33.00 
2 2 29.27 0:00:00:00.41/600 0:00:00:00.21/600 93.70 361.49 221.60 147.98 -1000.00 -1000.00 48.00 33.00 
3 3 29.51 0:00:00:00.61/600 0:00:00:00.41/600 28.12 427.74 256.51 178.04 -1000.00 -1000.00 41.00 23.00 
4 4 29.63 0:00:00:00.81/600 0:00:00:00.61/600 16.36 422.94 262.77 176.49 -1000.00 -1000.00 38.00 29.00 
5 5 29.70 0:00:00:00.101/600 0:00:00:00.81/600 -8.01 413.37 276.00 173.39 -1000.00 -1000.00 36.00 26.00 
6 6 29.75 0:00:00:00.121/600 0:00:00:00.101/600 -31.03 404.36 288.81 170.39 -1000.00 -1000.00 39.00 27.00 
7 7 29.79 0:00:00:00.141/600 0:00:00:00.121/600 -32.54 402.52 289.63 169.64 -1000.00 -1000.00 38.00 28.00 
94 94 29.95 0:00:00:03.83/600 0:00:00:03.63/600 -37.56 365.35 291.69 153.44 -1000.00 -1000.00 31.00 30.00 
95 95 29.95 0:00:00:03.103/600 0:00:00:03.83/600 -36.74 358.41 291.06 150.37 -1000.00 -1000.00 35.00 35.00 
96 96 29.95 0:00:00:03.123/600 0:00:00:03.103/600 38.14 316.20 249.25 130.52 -1000.00 -1000.00 42.00 24.00 
97 97 29.95 0:00:00:03.143/600 0:00:00:03.123/600 60.32 300.10 237.51 123.49 -1000.00 -1000.00 40.00 40.00 
98 98 29.95 0:00:00:03.163/600 0:00:00:03.143/600 -4631.98 5615.79 -1000.00 -1000.00 -1000.00 -1000.00 40.00 40.00 
99 99 29.95 0:00:00:03.183/600 0:00:00:03.163/600 -4631.98 5615.79 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
100 100 29.96 0:00:00:03.203/600 0:00:00:03.183/600 143.62 257.93 196.29 105.84 -1000.00 -1000.00 47.00 43.00 
101 101 29.96 0:00:00:03.223/600 0:00:00:03.203/600 234.19 214.68 155.58 89.36 -1000.00 -1000.00 48.00 42.00 
102 102 29.96 0:00:00:03.243/600 0:00:00:03.223/600 232.66 218.83 156.26 90.89 -1000.00 -1000.00 48.00 41.00 
103 103 29.96 0:00:00:03.263/600 0:00:00:03.243/600 304.05 190.32 126.77 80.89 -1000.00 -1000.00 48.00 39.00 
